,logFC,AveExpr,t,P.Value,adj.P.Val,B,SYMBOLS
CAMP,0.132955997,3.282640035,-1.777219671,0.090232279,0.58215908,-4.337797324,CAMP
MED23,0.178118713,3.837574211,-1.777194314,0.090236562,0.58215908,-4.337833188,MED23
CGB2,0.116950002,3.189709528,-1.777052484,0.090260516,0.58215908,-4.33803378,CGB2
HSPA4L,0.099901593,3.304359507,-1.777002563,0.090268948,0.58215908,-4.338104381,HSPA4L
ZNF847P,0.120877173,3.45861989,-1.776914496,0.090283826,0.58215908,-4.338228928,ZNF847P
GPR35,0.153343501,3.624791168,-1.776757115,0.090310419,0.58215908,-4.338451488,GPR35
STK11IP,0.265101318,5.125441838,-1.776298262,0.090387992,0.582337034,-4.339100299,STK11IP
MRPL30,-0.229030668,4.139225163,1.77626899,0.090392942,0.582337034,-4.339141685,MRPL30
OR5H1,0.0810472,3.1510767,-1.775929132,0.090450437,0.582530481,-4.339622157,OR5H1
FAM204A,-0.149017152,3.575295033,1.77523917,0.090567258,0.582626616,-4.340597387,FAM204A
PTPN1,0.387660878,6.360254889,-1.775038444,0.090601268,0.582626616,-4.340881055,PTPN1
TJP2,0.190999346,3.802115108,-1.775024307,0.090603664,0.582626616,-4.340901032,TJP2
FBXW12,0.090667267,3.237074954,-1.774947273,0.090616719,0.582626616,-4.34100989,FBXW12
ZBTB33,-0.263499154,4.986931744,1.774730363,0.09065349,0.582626616,-4.341316392,ZBTB33
LAMA3,0.109064225,3.257045692,-1.774622375,0.090671801,0.582626616,-4.341468974,LAMA3
FAM224B,0.111623672,3.286040011,-1.774480999,0.090695777,0.582626616,-4.34166872,FAM224B
SNX6,-0.272968598,5.280618747,1.774480508,0.090695861,0.582626616,-4.341669414,SNX6
GUCY1A2,0.087195656,3.257918052,-1.774123487,0.090756435,0.582626616,-4.342173791,GUCY1A2
DDX28,-0.46288559,6.819063331,1.773904586,0.090793592,0.582626616,-4.342483006,DDX28
CAPN1,-0.411605772,5.759867684,1.773847658,0.090803258,0.582626616,-4.342563417,CAPN1
SERPINE1,0.104678658,3.421427014,-1.773805868,0.090810353,0.582626616,-4.342622443,SERPINE1
PDE2A,0.088920871,3.197340947,-1.773660504,0.090835039,0.582626616,-4.342827758,PDE2A
AUH,0.186972583,3.900557338,-1.77336515,0.090885215,0.582626616,-4.343244886,AUH
MGARP,-0.102617172,3.304370607,1.773274661,0.090900592,0.582626616,-4.343372673,MGARP
